mirna,log2FoldChange,pvalue,baseMean,padj,rank_score
hsa-miR-3194-3p,0.6672425341971495,0.17974777348483667,0.4766018101408211,0.4576740023022535,0.7453364804679622
hsa-miR-487a,0.9957347388817501,0.18022625524931202,4.631066222180771,0.458157341354838,0.7441819409967917
hsa-miR-103b,1.2703361132524535,0.1803070827267427,3.1558869053211343,0.458157341354838,0.7439872132181099
hsa-miR-4482-5p,0.849585502688717,0.1808336741468054,0.6068467876347979,0.4585639469608408,0.7427206936925287
hsa-miR-1262,0.9269793193258777,0.1810287135294412,2.271198299109716,0.4585639469608408,0.7422525348635389
hsa-miR-224-5p,0.764611820497528,0.18129645862477123,0.6923919255356662,0.4585639469608408,0.7416106791628557
hsa-miR-4782-3p,0.9755722153642281,0.18148836799073745,0.6968372966887344,0.4585639469608408,0.7411512046737135
hsa-miR-325,1.0873684207776897,0.1817158401996923,2.675173797604816,0.4585639469608408,0.7406072135203942
hsa-miR-4266,0.735595497072957,0.18199657578302889,0.6177977485364785,0.4585639469608408,0.7399367830727558
hsa-miR-607,0.49850922181010765,0.1821598843673457,0.1932994941712662,0.4585639469608408,0.7395472580771452
hsa-miR-1266,0.898187973769668,0.1823161498803988,1.2270585657146127,0.4585639469608408,0.739174859083455
hsa-miRPlus-C1087,1.0228589753973178,0.1831101772359453,3.7121205559601864,0.4600944676242597,0.7372875170058916
hsa-miRPlus-F1006,3.8862192640420283,0.18362693896725757,0.6858033995368286,0.46045986717775406,0.736063605342819
hsa-miR-639,1.1655031342594198,0.18457368905541385,4.523707514400491,0.46236641298729936,0.7338302074945355
hsa-miRPlus-F1064,0.3709333192873938,0.18506839511598935,9.359338510442875,0.46313786063335377,0.7326677411534599
hsa-miR-3668,0.9850821107076813,0.18578559852153967,1.0309604206110412,0.46446399630384916,0.7309879540939034
hsa-miR-577,1.0605545019265175,0.18705047862157614,1.5532635845393459,0.46715527389880046,0.7280411761990373
hsa-miR-3126-3p,1.4619643592649698,0.18792669735088813,4.013625363255644,0.46840021048261565,0.7260115185234233
hsa-miR-648,0.9118718356169155,0.18894625836517712,1.5783244020647396,0.46992771042168996,0.7236617038392987
hsa-miR-5047,0.8055282435501189,0.18910800604872846,0.5753773168215135,0.46992771042168996,0.7232900845384449
hsa-miR-613,0.8993420506155059,0.1916450542900793,1.277422612154946,0.47480492970968696,0.7175023839350262
hsa-miR-3545-3p,0.5087219595249246,0.19275107136607614,0.2543609797624623,0.47650543889802555,0.7150031993362435
hsa-miR-555,1.2860594252210333,0.19320085671351164,1.25073910901545,0.47650543889802555,0.7139909521175971
hsa-miR-4730,0.9491853096329674,0.19323612123967757,0.677989506880691,0.47650543889802555,0.7139116885375721
hsa-miR-3190-5p,0.3,0.19342205960333228,0.21428571428571427,0.47650543889802555,0.7134939965525845
hsa-miRPlus-E1166,3.214618729924908,0.19511283525680342,0.5672856582220426,0.47876144132603227,0.7097141601398186
hsa-let-7f-2*,0.9570776673745534,0.1951725069276688,2.279071484589991,0.47876144132603227,0.7095813594692135
hsa-miRPlus-D1100,0.9442901591652815,0.19897798427747115,4.2256939344234326,0.48617280887500336,0.7011949730161253
hsa-miR-4294,1.2935598672117834,0.2020907706682692,2.0300825405835083,0.4923232920012845,0.6944535199303554
hsa-miR-1254,0.98958782301773,0.2048941224186579,2.379801185327347,0.49759615527709483,0.6884704995673523
hsa-miR-633,0.30288881590334044,0.20517191704432586,0.1174466837176218,0.49759615527709483,0.6878820836544252
hsa-miR-106a-3p,1.1291819808638137,0.20549556159626314,3.5227692120957745,0.49759615527709483,0.687197553812572
hsa-miR-376a-3p,0.542357477602563,0.20613577558190016,0.43273889509635377,0.49777675116174525,0.6858466283592349
hsa-miRPlus-E1073,4.103800557965342,0.20707560557858218,0.9885172211888358,0.4983194056269124,0.6838710599023844
hsa-miR-202-3p,0.9612836935350377,0.20711002389282093,1.5213023445222367,0.4983194056269124,0.6837988812321404
hsa-miRPlus-J1005,1.1626257566167109,0.20716423677473655,2.7553427330860107,0.4983194056269124,0.6836852156833298
hsa-miR-138-5p,0.7436401740482619,0.2074565177541579,1.3329190915104328,0.4985389186340229,0.6830729161967859
hsa-miR-548l,0.830192524779565,0.20912611792187544,4.5196364132778735,0.5020646393477746,0.6795917244228353
hsa-miR-3123,1.1583255830491255,0.20950655720837905,1.4916591597124078,0.5024915492038492,0.6788023797867065
hsa-miR-3657,1.2522994203932818,0.2100749436257617,3.473149545510206,0.5030085340018622,0.6776257443289369
hsa-miRPlus-E1043,0.6957847982537295,0.21012775855884244,8.853996347596642,0.5030085340018622,0.6775165720937247
hsa-miR-200b,1.573383596556809,0.21043018058343768,5.924969381802775,0.5032467192352222,0.6768919721187757
hsa-miR-3670,1.010937932084801,0.21103076303289525,4.473601634419411,0.504196813411927,0.6756542307611119
hsa-miR-582-3p,0.5320280361965057,0.21136642761357471,0.4842915855601054,0.5045127434857222,0.674963992714679
hsa-miR-4643,0.3584962500721156,0.21162962507486108,0.25606875005151114,0.5046552597938995,0.6744235374593043
hsa-miR-518a-3p,0.8980616249516928,0.21183761650645075,1.4971266344194432,0.5046659836080671,0.6739969186826122
hsa-miRPlus-E1197,3.059343902831015,0.21209142054205327,0.6113127895752212,0.5047857225952899,0.6734768990770483
hsa-miR-548p,0.8026563100614766,0.21339644469673258,0.9799801958074706,0.5074047774188847,0.6708128204385068
hsa-miR-520a-5p,1.039873434678194,0.21404923998291947,2.8891440970556364,0.508469458963257,0.6694863098610206
hsa-miR-548ax,2.319081161785917,0.21457495288880413,4.136016006890741,0.5092305102050089,0.6684209741549406
hsa-miR-4640-3p,1.93476915859608,0.2153416216953422,3.3273178988069363,0.5101846372119997,0.666872020684591
hsa-miR-1268a/hsa-miR-1268b,1.134386126214693,0.21582417115110997,3.306091678623314,0.5107289546323976,0.6658999182735891
hsa-miRPlus-G1079-5p,1.1939173750216772,0.2168201570340401,2.5013184100711516,0.5125967487554046,0.6639003453729331
hsa-miRPlus-E1238,1.8045990320942957,0.21710434985027363,6.053426750832494,0.5127797977415987,0.6633314750391502
hsa-miR-33a,1.3788177016328778,0.21739109492713465,8.36373537514321,0.5128256106788549,0.6627582500529288
hsa-miRPlus-F1200,3.5743244129515315,0.21863530409166537,1.132360832627933,0.5138373717602404,0.6602797091098458
hsa-miR-517-5p,0.9922506775131223,0.21865697760260674,2.4844834511500467,0.5138373717602404,0.6602366592477419
hsa-miR-378g,1.3370074349106922,0.21937126290534814,0.9550053106504944,0.5138373717602404,0.6588202645418265
hsa-miR-570-3p,0.9369023923981028,0.21947515632817963,2.7929583070655593,0.5138373717602404,0.6586146329627265
hsa-miRPlus-E1118,2.0339554650449507,0.2195174146647905,0.6232504400852373,0.5138373717602404,0.6585310207848726
hsa-miR-548h-5p,0.9702489714373703,0.21983123041839314,1.8622428736132157,0.5138373717602404,0.6579106092969721
hsa-miR-3132,0.8102098467042218,0.22008620826566067,1.0966513461490017,0.5139489609216935,0.6574071717210156
hsa-miR-4302,1.5390411053310276,0.22427125822905564,2.0906219486290802,0.522426082560227,0.6492263804176369
hsa-miR-3147,1.1183680803393514,0.22455895322951694,3.223450853030189,0.522426082560227,0.6486696248112027
hsa-miR-5700,0.5409390936137701,0.22516115595410413,0.3863850668669787,0.5233361450479647,0.6475065303831266
hsa-miR-3925-3p,1.478303779971963,0.22723038924221958,1.848412521769123,0.526391889831923,0.6435335875840841
hsa-miR-4723-3p,0.3635946139865407,0.22732488468144738,6.9019847297246875,0.526391889831923,0.6433530205517907
hsa-miRPlus-E1097,0.6088448265648552,0.22804589505108713,11.90264412593587,0.5275688616853509,0.6419777408872241
hsa-miR-708-5p,0.896544773539157,0.2285168093432606,2.1544840577969535,0.5281655984820934,0.6410818483883541
hsa-miR-218-1-3p,1.0164168519995491,0.2287899598745148,3.2679294701800266,0.5283045628387307,0.6405630378631428
hsa-miR-1825,0.7152273210666689,0.2291019643891174,5.743793595056008,0.5285329038930336,0.6399711870231887
hsa-miR-1271-5p,0.8101104593095254,0.23171510165158368,1.4944961848588327,0.5330737032429754,0.63504566085731
hsa-miR-762,1.3085942828011834,0.2321881717777783,2.6496714369809484,0.5336669749850698,0.6341599080362184
hsa-miR-150-3p,0.88862857210427,0.23373115836212854,1.090080169614178,0.5365279813743942,0.6312833885802243
hsa-miR-593-3p,0.6680339520258451,0.23386562413940326,5.870713850223578,0.5365279813743942,0.6310336103573179
hsa-miRPlus-F1027,1.1147897034184844,0.23471573809320126,6.363163138262551,0.5374086018764382,0.629457789234472
hsa-miR-4684-5p,0.9308856145879588,0.23489956630405603,1.1167570266486573,0.5374086018764382,0.6291177850611731
hsa-miRPlus-F1050,1.6902643087942253,0.23578363832866714,0.6646592951992517,0.5389340304655249,0.6274863350768658
hsa-miR-3662,1.027794884062843,0.2373912157268234,2.0751238475380687,0.5400970629175538,0.6245353554401911
hsa-miR-548ao-5p,0.7379378367071262,0.2377487363263176,0.5270984547908044,0.5400970629175538,0.6238817827310982
hsa-miR-154-5p,1.2529521122865517,0.24125002549241203,4.210358001729777,0.5463927518001661,0.6175326320931303
hsa-miR-4788,0.49068905956085185,0.24262554824445912,0.3504921854006085,0.5485188441648411,0.615063470256752
hsa-miR-4769-3p,0.7652223278329293,0.24334912738582695,6.870502709732852,0.5485188441648411,0.613770206733808
hsa-miRPlus-E1225,1.0599509246123926,0.24409885399123518,9.87129945083858,0.5485188441648411,0.6124342595277156
hsa-miR-4448,1.439162408565977,0.24440907264047176,1.9242137741559868,0.5485188441648411,0.6118826768068942
hsa-miRPlus-E1256,4.104901458626901,0.24460717988654,1.7034066762754088,0.5485188441648411,0.6115307993874646
