probe,log2FoldChange,pvalue,baseMean,padj,rank_score
42579,2.17236850562449,0.0069904689290259635,2.500873825571135,0.07902752937800704,2.155493690283278
145637,2.171680670585082,0.007044525014757685,3.9834992541040357,0.07921837892585026,2.1521482843749253
42892,2.212713632432839,0.007199798185871208,2.964773229810333,0.07972745857508774,2.142679676900799
46743,3.1633410812324674,0.007202469741927239,2.750251634233772,0.07972745857508774,2.1425185575448262
46729,1.7444256088374188,0.007551011595793849,1.0512121454305272,0.08045602855318346,2.121994862802374
42584,2.025420848947119,0.00777731391102927,2.6004417132661826,0.08184422688594259,2.109170371524947
11061,1.292294576523682,0.008072563163070565,0.5010938153867338,0.08371110511193856,2.092988548197987
11066,2.467401009666431,0.008198031045894982,2.1227873270676265,0.08415350995698302,2.086290441345774
4390,1.7170935248359775,0.00823981649383744,4.228476431522075,0.08415350995698302,2.084082460220509
17638,1.6228868424313285,0.008275647800604247,1.4762854125160507,0.08417854636318688,2.0821980005472525
42855,2.1066449106650196,0.008376551850382656,1.7923715725717038,0.0845029851838139,2.076934718903089
46735,1.5300739840880304,0.008386851884737982,1.2127810017383702,0.0845029851838139,2.076401026734417
42656,1.809791498009984,0.008451463807591597,5.880980601777828,0.08490972207026999,2.0730680640086234
46640,1.9154497513332494,0.008532265839810368,2.2906584518210544,0.0852207635578981,2.068935621698451
46741,1.8590674320670006,0.008538072745007622,2.2511923152743036,0.0852207635578981,2.068640149295388
42807,2.427155972357265,0.00864940473448242,2.2205890667049695,0.08586374993234723,2.0630137803300115
46308,2.447371689676701,0.008926347500277102,4.836709504166242,0.08680225372498473,2.0493262102004883
11176,2.5131819788376104,0.008974831953856259,3.3085898299135397,0.08693348588030768,2.046973674470667
14313,2.0116923253693546,0.009120319353526802,2.4029111404823547,0.0875468492899352,2.0399899543200246
27217,1.6964951124246026,0.009362216490342376,4.933576324793398,0.08916208572047382,2.028621320538847
28769,1.9756456352450895,0.009366922575684026,2.338754922381515,0.08916208572047382,2.0284030695096824
42604,1.9160428628774948,0.009395270007319219,4.040592668768301,0.08916208572047382,2.0270907343496387
45775,2.022084996054189,0.00953285088540365,3.4385713029283935,0.08983206188359022,2.020777200238398
33668,2.014557607423325,0.009553582717799923,2.1984100323884914,0.08983206188359022,2.0198337317897987
31015,2.379918916007309,0.009798945766388662,2.4955922242057498,0.09118582283045519,2.0088206459879405
27545,1.962345809076779,0.009992764926952478,2.631079957456556,0.09142679382675861,2.000314328953434
42748,2.1393785793041764,0.010011690276612934,2.9329073904896594,0.09142679382675861,1.9994925942654251
42870,2.2435229222307966,0.010238192786447211,4.38653142312311,0.09205733682666248,1.9897766968895125
46641,1.7458094207482784,0.010321625072617241,7.578779027608503,0.09241757575524093,1.9862519204889644
46296,2.9740084118979957,0.010373509088581423,3.6763839260054563,0.09268741244346755,1.9840743082187406
148681,2.316217037302263,0.010460552664332993,1.7997826774445627,0.09307489656657038,1.9804453697010997
14259,2.0506730787819123,0.011000830100047534,2.791666457736085,0.09482268424391908,1.9585745426355805
46366,2.8063301708243347,0.01101429800071084,4.062590535104173,0.09482268424391908,1.958043177508493
17604,1.763480472996827,0.011033842698308797,6.592182058940781,0.09482268424391908,1.9572732117634015
17691,2.980055198381585,0.011063242512493012,2.6482372009973445,0.09482268424391908,1.9561175675251312
42947,1.328711230978746,0.011250896957630192,0.6803544359638382,0.09571122322039896,1.9488128528218596
46289,1.7746298866755152,0.011376621313631548,1.6550901921122838,0.09639594441092973,1.9439866977576497
42960,2.0754169000857594,0.01151924264051989,6.863285591579461,0.09713143244985693,1.9385760736780413
46422,1.9341594596885465,0.011586284826762031,4.041279479933853,0.09739792096974315,1.936055799402421
46589,2.831112247399917,0.011729258447503494,3.3196445384885997,0.09765224840690293,1.9307294441792298
42733,2.0891668300511252,0.01173925926516881,3.5478084766721225,0.09765224840690293,1.9303593057458912
46522,2.7729772358228644,0.012089357154412745,3.380829158513171,0.09927714873238366,1.9175967919195318
46431,2.901016732224421,0.012155431058612278,4.953335959099016,0.09939026362922179,1.9152296354996028
17535,1.8287479916405625,0.012199542365151533,1.3179279895498874,0.09939026362922179,1.9136564604741975
46765,3.240153449012558,0.012360760549683839,1.9424451062471257,0.10000652141417594,1.9079548065636234
147606,2.6052582408444502,0.012365893192226824,3.9821624874798514,0.10000652141417594,1.9077745089471903
28038,2.014995587726718,0.012455103574074622,3.96311228766045,0.10053721862254932,1.9046526566090447
17478,1.7303497612355396,0.012675703732723689,1.80238037516683,0.10181982554420825,1.8970279200613298
29837,2.4950142514578033,0.012736470035827318,5.808408343800516,0.10184396865421394,1.8949509217955314
46616,1.707572887873622,0.012886974596742578,2.094786393852706,0.1022798616970519,1.889849027577437
17639,1.674668749702359,0.012960523694942416,1.3880555751089332,0.10246009892475444,1.887377449605194
42961,2.4477505911062067,0.013004290251340846,4.20822975505955,0.10246009892475444,1.8859133457624278
46556,2.0684494155040984,0.01305736017275708,3.7448175826021948,0.10246009892475444,1.8841446161917283
17592,1.863575772353655,0.013093488270128986,2.650826450923421,0.10246009892475444,1.8829446365163636
147866,1.7595956877166978,0.013186484942751372,1.048575326242167,0.10246009892475444,1.8798709567973608
42621,1.8360176999998674,0.013270811445336907,3.711251107152948,0.10246009892475444,1.877102521336167
17610,1.8238371732937897,0.013299347617088174,3.760240301766091,0.10246009892475444,1.8761696622846202
42729,1.986343476083345,0.013342410817277972,2.15636110615325,0.10246009892475444,1.8747656914056567
148514,2.088308948201872,0.013415125285165171,2.6632699600155965,0.10268787804424058,1.8724052670545226
17594,1.427979581910071,0.013496124628688001,1.0930965521643867,0.10289889654287702,1.8697909199490457
17620,1.98587681690656,0.0135679286148393,2.1534577174874716,0.10326162813650909,1.8674864500418822
148236,2.104946272157602,0.013711931683468535,4.2600259753585465,0.10398621500879518,1.862901359187399
17513,1.9124233787287592,0.013839927846052015,1.85519415644337,0.10446827750217152,1.8588661740514534
46212,2.5060830886461236,0.013863671386573344,4.791219493034899,0.10446827750217152,1.8581217443427014
11215,1.9706426276302047,0.014096721483855296,2.3219463449379756,0.10540390695472154,1.8508818807510845
42527,2.6054437233445036,0.014131354022716142,2.541914052183071,0.10545604137156774,1.849816223401209
46590,2.2794490214055303,0.014540570345590843,5.38090134562604,0.10777013386797007,1.8374185581891602
11005,1.8363466154942332,0.014621762323769666,4.902433743218382,0.10777013386797007,1.8350002798157272
17418,1.8532165869835024,0.014687723065426102,1.631104723526472,0.10777013386797007,1.8330455246158128
148451,2.4363203524688215,0.014763880548457094,3.33709650531762,0.10793080428391791,1.830799477250141
148661,2.280213587502109,0.014931548880454462,4.61792149225746,0.10878335269828533,1.825895139673196
25611,4.32911735532612,0.015110611293979986,9.271691779234407,0.10882097800466917,1.8207179660890171
42562,1.8882359954597776,0.015141364305825335,2.6724586767010026,0.10882097800466917,1.8198349911637648
27291,2.6630497239229154,0.015159489228366428,8.767280416870875,0.10882097800466917,1.8193154312263222
17316,1.6373418253378116,0.015174217791805566,4.2265795226892795,0.10882097800466917,1.8188936869056294
42533,1.4676109508169852,0.015179213807614018,1.2692144076569218,0.10882097800466917,1.8187507217117533
46827,2.78673306622213,0.015216146943673016,3.7075245026619346,0.10882097800466917,1.817695306366296
17824,1.7090103446758258,0.015222411970494936,2.0758163951844386,0.10882097800466917,1.81751652874257
11266,1.4079715042560572,0.015243107430499177,4.683030715541325,0.10882097800466917,1.8169264895349984
46473,2.267217643449686,0.015412216771571315,4.340943641263627,0.10957409225081732,1.8121348912996287
42674,1.943669110707341,0.015492503342890455,3.639117791154406,0.10968280605880253,1.8098784014685065
17304,1.5969161247294466,0.015537346864969525,5.622419205200535,0.10969864121159638,1.808623138705984
10901,1.8738726941397714,0.01570006001287404,1.2218276079399206,0.11023666519747802,1.8040986875136817
11262,1.8658125314786926,0.015810010214143518,3.2994722070851306,0.11064411089109963,1.8010678494893764
24136,3.4246573506016595,0.016246222009286965,7.422294832502298,0.11275770474765408,1.7892476163023716
42800,1.8606779550556696,0.01627076218202892,3.0852706618871535,0.11275770474765408,1.788592102644189
42998,2.358318186755664,0.01679026074900974,4.897179958980179,0.1142739310795794,1.7749425593130068
42830,1.7029947818092002,0.016828148755620605,1.8626958400646478,0.1142739310795794,1.7739636576094244
11166,1.8701664158529614,0.016838110914588422,2.100759250769424,0.1142739310795794,1.773706634059067
169076,2.533056461464299,0.016920250184173213,1.8093260439030705,0.11433186293188323,1.7715932197365578
46806,1.2962157505076322,0.01707468488065735,5.214192731639104,0.11464119158559953,1.7676473026305877
14854,1.8378316214280002,0.01713999018551982,2.6778550445470515,0.11485949397906521,1.7659894310928559
28444,3.006982020013522,0.017167105316821113,8.687116141176189,0.1148606010365645,1.7653029285382176
17393,1.82361670245992,0.017205103377358547,1.9476251827706488,0.11493440532022277,1.7643427135643246
46568,2.5309476765562033,0.017324406118840834,2.612325347548846,0.11505610486496748,1.7613416440887977
28684,3.3789624244206875,0.01732655435923797,7.004933348656884,0.11505610486496748,1.7612877945597456
42805,2.3813774115039,0.017355476059499195,1.8114999873112834,0.11505610486496748,1.7605634691618022
17289,1.6125374483351518,0.017358300194315834,3.0149752209981786,0.11505610486496748,1.7604928052178535
148237,2.3569645795904557,0.01750932229791855,3.3704963648397754,0.11552032766355722,1.7567306630524864
11139,2.158484530676033,0.01753675551344944,2.6395405205076092,0.11552032766355722,1.756050752642913
147389,2.554006762031483,0.01757374334095714,3.296320690642758,0.11558533043080144,1.7551357206239577
42615,1.8386113489361615,0.017653055416678113,2.0960627351571386,0.1156914062603179,1.7531801154454891
148155,1.900799691910719,0.017858662074287657,3.7520746442331276,0.11590609249816781,1.7481510804709361
24127,3.081338734607895,0.017936884015777522,6.933714492374592,0.11600455185924703,1.7462530001040781
46586,2.436294352995089,0.0181489378705439,4.22903068363576,0.11647797086142939,1.741148786080168
46706,3.872115223960592,0.018231074696246886,2.8124628992657446,0.11664353929364299,1.7391877295407012
148555,1.1014215853835188,0.01833594764020998,0.5507107926917594,0.11687965792503167,1.736696639874154
42614,1.5021825420914645,0.018486125910857375,4.996702169481524,0.11724247448258167,1.7331540932660745
147670,2.2918765799199687,0.018493062738320222,2.7925058784985737,0.11724247448258167,1.732991156974911
