gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
ENSMUSG00000028076,9.52887923237486,-0.7634833576204829,0.8232426420840554,-0.9274098772236935,0.3537137642748258,0.9999741508561834,-0.4513480398960347
ENSMUSG00000057322,214.22991154468232,-0.790559973974701,0.851766139014464,-0.9281420542138696,0.35333388754778894,0.9999741508561834,-0.4518147082508608
ENSMUSG00000042541,458.48697405419716,-0.7830709657902875,0.8435592577957426,-0.9282939622244041,0.3532551051608702,0.9999741508561834,-0.45191155311089914
ENSMUSG00000028811,149.3395106491362,-0.6714834314427818,0.7232598178920592,-0.9284124664907009,0.35319365430496485,0.9999741508561834,-0.4519871078268998
ENSMUSG00000015087,787.9288811512337,-0.6029836566446779,0.6491869518658362,-0.9288289835641876,0.35297772136973704,0.9999741508561834,-0.45225270478645885
ENSMUSG00000117254,4.332664964975859,-1.7343828820095835,1.8669391634288237,-0.9289980712730954,0.35289008588048065,0.9999741508561834,-0.45236054256913594
ENSMUSG00000039176,494.5515024042743,-0.4582527418660005,0.4932666435222307,-0.9290162792963068,0.35288064977052536,0.9999741508561834,-0.4523721555484717
ENSMUSG00000040964,668.8633101141656,-0.26973695666629144,0.29033413358336263,-0.9290569914640877,0.35285955170989813,0.9999741508561834,-0.4523981219630044
ENSMUSG00000014232,47.47749532740955,-0.7567072821383043,0.8142173436710641,-0.9293676780778655,0.35269857244026437,0.9999741508561834,-0.4525962981509693
ENSMUSG00000068917,142.74787381387472,-0.5358186743861981,0.5765293159057353,-0.9293866931023615,0.3526887214981137,0.9999741508561834,-0.45260842825270103
ENSMUSG00000031537,155.98027964947505,-0.3739686222710672,0.40225320975036793,-0.9296846195538035,0.352534400161872,0.9999741508561834,-0.4527984983277766
ENSMUSG00000020067,1985.592104199448,-0.4861043849482899,0.5228258535289266,-0.9297634798800075,0.3524935588747934,0.9999741508561834,-0.4528488144759649
ENSMUSG00000112395,5.360406398623799,-1.486418505364546,1.5976205238705723,-0.930395224119545,0.35216649042598436,0.9999741508561834,-0.4532519706726695
ENSMUSG00000059734,713.3155270260473,-0.6453326274281063,0.6935328034239286,-0.9305005102024575,0.3521120000948871,0.9999741508561834,-0.45331917377620984
ENSMUSG00000112163,3.0038130763349806,-1.6197577604505524,1.739293443703533,-0.9312734238804181,0.35171214559037445,0.9999741508561834,-0.4538126340378997
ENSMUSG00000013646,166.8509817319115,-0.47784672155003177,0.5130884344889395,-0.9313145442968129,0.351690880662172,0.9999741508561834,-0.4538388927846907
ENSMUSG00000089542,8.571684441469534,-0.9737370655561995,1.045416304397478,-0.9314347417963884,0.3516287266417979,0.9999741508561834,-0.4539156520499423
ENSMUSG00000022841,425.71563330791315,-0.2938391567949439,0.3154325809514891,-0.9315434566352987,0.3515725162878638,0.9999741508561834,-0.4539850826626918
ENSMUSG00000023079,151.06830837851177,-0.6818227132116816,0.73187133925961,-0.9316155403782315,0.35153524896031585,0.9999741508561834,-0.45403112110949745
ENSMUSG00000023991,161.20781663805673,-0.44630900950294217,0.4790536343261302,-0.9316472677026053,0.35151884671248834,0.9999741508561834,-0.4540513852848075
ENSMUSG00000089447,7.932908845893219,-1.2686972474542322,1.3614899731115608,-0.9318447234354144,0.35141677784381187,0.9999741508561834,-0.4541775076357122
ENSMUSG00000003283,4.445904541169903,-1.236626822121217,1.3267048391155734,-0.9321039508272199,0.3512828064629332,0.9999741508561834,-0.45434310623133656
ENSMUSG00000116641,20.5777431408379,-1.0063112273606905,1.0795086951918227,-0.932193720942539,0.35123641988959875,0.9999741508561834,-0.4544004582072175
ENSMUSG00000050370,3.1307752270680727,-1.6823479818019988,1.8034758633027748,-0.9328364277196648,0.3509044298191182,0.9999741508561834,-0.45481114921447274
ENSMUSG00000033871,1080.3771615686337,-0.5261429384713018,0.5639360627959531,-0.9329833170496745,0.35082858209666146,0.9999741508561834,-0.45490503177919983
ENSMUSG00000031834,131.66821927608206,-0.4509850225975933,0.4833385243891122,-0.9330624393484667,0.35078773084165715,0.9999741508561834,-0.4549556049324179
ENSMUSG00000049550,3623.948646727516,-0.5700351843095933,0.6109042781209322,-0.9331006586874016,0.3507679990780892,0.9999741508561834,-0.454980034626803
ENSMUSG00000118139,2.745693025801946,-1.8705748732505205,2.004423189785483,-0.9332235242452533,0.3507045711903273,0.9999741508561834,-0.4550585733548913
ENSMUSG00000020032,401.3746378765832,-0.40957322681352487,0.43878261571523386,-0.9334308428466418,0.3505975619083125,0.9999741508561834,-0.45519110836044385
ENSMUSG00000071035,4.8516110531050165,-1.0144126403280689,1.0863862650875202,-0.9337495078201737,0.35043312061116727,0.9999741508561834,-0.4553948539340338
ENSMUSG00000061723,6.246280638619399,-1.3756987593221328,1.4729337804208733,-0.9339854768820927,0.35031138457006017,0.9999741508561834,-0.45554574856408087
ENSMUSG00000085771,4.145267453490466,-1.3250478728058106,1.4186016446231482,-0.9340521194431646,0.3502770086432201,0.9999741508561834,-0.45558836781239714
ENSMUSG00000000628,3729.7272743568287,-0.6079984177939163,0.6505169181771661,-0.9346389014717831,0.34997442392490696,0.9999741508561834,-0.4559636926615549
ENSMUSG00000045410,93.29676919130522,-0.7143935655252773,0.7643156264381918,-0.9346839719272028,0.34995118939365555,0.9999741508561834,-0.45599252609334767
ENSMUSG00000042502,149.6303919195145,-0.6051492967622378,0.647346931065022,-0.9348144985666957,0.3498839063723671,0.9999741508561834,-0.4560760333228026
ENSMUSG00000022437,684.4551935529392,-0.5614250563936797,0.6005454165535945,-0.934858615049602,0.34986116735153683,0.9999741508561834,-0.4561042591200101
ENSMUSG00000019916,348.42160588137307,-0.4912369485127758,0.5252994648781055,-0.9351560040647787,0.3497079081815846,0.9999741508561834,-0.456294546584691
ENSMUSG00000034621,500.6314960872819,-0.41467032656911895,0.44340600265315105,-0.9351933083627867,0.34968868645222395,0.9999741508561834,-0.45631841827940645
ENSMUSG00000110884,1.6369565054058228,-2.032256509262916,2.1728823023939845,-0.9352814494479829,0.3496432727921994,0.9999741508561834,-0.45637482325766804
ENSMUSG00000021250,1663.7393514561288,-0.4418048735601308,0.4721969158229656,-0.9356369318722335,0.34946015264005237,0.9999741508561834,-0.4566023377298576
ENSMUSG00000004929,90.19857116043652,-0.5022110259776429,0.5366869550283587,-0.935761566910278,0.3493959636388201,0.9999741508561834,-0.45668211646674806
ENSMUSG00000029313,1010.5531135838596,-0.3944745819244516,0.421380458363465,-0.9361482576968354,0.3491968594558653,0.9999741508561834,-0.456929670828785
ENSMUSG00000020692,35.70341135755127,-0.8267858363896401,0.8830656711031273,-0.9362676677905707,0.34913539065721455,0.9999741508561834,-0.45700612601219626
ENSMUSG00000072845,3.3939197596074826,-1.1641885733901967,1.2433528597807122,-0.9363299921114288,0.3491033106621093,0.9999741508561834,-0.45704603260814164
