,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Otud1,762.3939668956641,0.6664352439338285,0.1166612186973436,5.712568850002964,1.1128336933542492e-08,3.6698259043082976e-08,7.953569733648374
Srp68,2304.4032763291134,0.2046838296294873,0.0358312147853975,5.712444606061838,1.1136467247719545e-08,3.6718805691559765e-08,7.953252555854091
Tsc22d1,6074.225120550025,0.5037021612620537,0.0881859430265755,5.711819185403042,1.1177481466294131e-08,3.684775060217176e-08,7.951656041575597
Cul5,2199.1004762920397,0.2499555330396609,0.0437650299277387,5.711307257240938,1.1211162222501841e-08,3.6946179614069154e-08,7.950349363260896
Bcl2l2,1742.5394492937412,0.3104460250966685,0.0543668986170532,5.710202954252964,1.1284152664973064e-08,3.718037891384237e-08,7.947531046842542
Blcap,1290.6466202809252,0.2035978844468961,0.0356650567064653,5.708609581713855,1.1390283298174802e-08,3.751088696321734e-08,7.943465474050488
Radil,69.15633358314885,0.92329727447259,0.1617393259531285,5.708551516655623,1.139416913104586e-08,3.751729147612512e-08,7.943317338316693
Smtn,4343.993916704523,0.5584261282307801,0.0978249272677926,5.708423648525759,1.1402730871417742e-08,3.7539087426803286e-08,7.942991125825221
Rps15a,3012.154512354168,0.3500522597783583,0.0613333568430953,5.707371613033855,1.1473410338687482e-08,3.7758909420424256e-08,7.940307473891849
Rpp21,338.37031357299617,0.2678880531489669,0.0469397157145426,5.707065947695356,1.1494025711761054e-08,3.7813877269262577e-08,7.939527835698628
Ktn1,9972.446912358082,0.6187382620031002,0.1084241073922556,5.706648427961091,1.1522243195155245e-08,3.7900258079639306e-08,7.938462962541247
Ogdh,86530.67006494825,0.5802290500458841,0.1016939616490677,5.705639161233356,1.1590731388913078e-08,3.811504013647312e-08,7.935889158674265
Gatad2b,2147.3781114084227,0.2702339688735245,0.0473627029527967,5.705628100297588,1.1591484164020542e-08,3.811504013647312e-08,7.935860953770842
Celsr3,34.243689611309954,0.8264732979711495,0.144858966369202,5.705365147123285,1.1609393988331757e-08,3.81505532977232e-08,7.935190449890416
Nek9,6402.316880417488,0.417934652639657,0.0732530672986995,5.70535361932997,1.1610179764963154e-08,3.81505532977232e-08,7.935161055857711
Pcolce2,625.4968090191173,0.7488743215612432,0.1313471665283585,5.701488211392496,1.1876595037662272e-08,3.901271735009117e-08,7.925308051636834
Tbx1,19.987404496399044,0.8876449142450646,0.1556894660200261,5.701380683847216,1.1884090433098368e-08,3.903070516413344e-08,7.925034052051294
Asph,6584.498922280543,0.5403412717406978,0.0947750178690566,5.701304878541369,1.188937733671432e-08,3.9041434788313696e-08,7.924840889393928
Rprd2,1603.2511557845164,0.118243146075868,0.0207421119336839,5.700631953675265,1.1936409563455892e-08,3.9189217605312635e-08,7.923126288053605
