,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Stag1,8014.5,0.16987403470281556,0.11088239011075722,1.5320199585627015,0.12551750967986505,0.9999999759983075,0.9012956859206556
Nuak1,13743.3,0.2969671656605319,0.19384920035383701,1.5319493973587277,0.12553492239328182,0.9999999759983075,0.9012354415700907
Gm8237,2132.5,0.1776095444536306,0.11597355117219017,1.5314659476963606,0.12565427613009178,0.9999999759983075,0.9008227273809715
Ttf2,3486.5,0.31850243958249586,0.2079956852186183,1.5312934941305492,0.12569687274299252,0.9999999759983075,0.9006755271458374
Gprc5b,21530.2,0.20011124398339822,0.13068130561172642,1.531292047065695,0.12569723022049076,0.9999999759983075,0.9006742920293167
AI317395,3119.8,0.12641724024047166,0.08256367772024188,1.5311483660989864,0.1257327285741896,0.9999999759983075,0.9005516595530247
Xirp2,11649.7,0.07766623502563058,0.05073098352248709,1.5309428209923062,0.12578352489119402,0.9999999759983075,0.900376238997319
Pdcd6,660.6,0.09262986348786129,0.0605181946443172,1.5306118107500326,0.1258653609838179,0.9999999759983075,0.900093774287997
Clic5,12388.9,0.13086371949050044,0.08550684520566783,1.530447289637884,0.1259060511806826,0.9999999759983075,0.8999533967291007
Mtr,16613.9,0.12308739690297921,0.08043276247646075,1.5303141793619441,0.1259389801889372,0.9999999759983075,0.8998398277888422
Rfwd3,15549.4,0.20013439946863637,0.1308735748937901,1.5292193220140475,0.12621008212999393,0.9999999759983075,0.898905950650303
Taf9,1532.8,0.4829748599088308,0.315876070900964,1.5290011001189672,0.12626417119520716,0.9999999759983075,0.8987198676529009
Vps35,2851.7,0.08957431556439312,0.058586026387708164,1.528936524413039,0.12628018056405693,0.9999999759983075,0.8986648057953611
Ago2,30758.1,0.1140844088847122,0.07462148693025024,1.528841270495568,0.12630379844657574,0.9999999759983075,0.8985835883236734
Ssna1,669.3,0.1479989112341037,0.09681966970199933,1.5286037608848349,0.1263627031224644,0.9999999759983075,0.8983810923378474
Gm6345,2013.9,0.06663414256836983,0.04359214527624804,1.5285814025921922,0.12636824929631987,0.9999999759983075,0.8983620311767316
Dok3,2536.3,0.10778439444224491,0.07052016778420549,1.5284194270789235,0.12640843442769373,0.9999999759983075,0.8982239473890964
Tbk1,4196.1,0.15465981914962085,0.1011947134292747,1.5283389211602745,0.12642841115383674,0.9999999759983075,0.8981553198761364
Fcgbp,2911.2,0.43824913086919703,0.2867512198396411,1.5283252539057293,0.12643180278832486,0.9999999759983075,0.8981436694221567
